Variable name,variable representations,allowable units,exception units,preferred unit for normalization,minimum value by domain knowledge,maximum value by domain knowledge,domain knowledge source
B-lymphocyte Crossmatch,B-lymphocyte Crossmatch,,TEMPORAL,,,,
Bacteria,Bacteria,,TEMPORAL,,,,
Bacterial Casts,Bacterial Casts,,TEMPORAL,,,,
Bactericidal/Permeability-Inc Protein Ab,BPI Auto-antibody|Bactericidal/Permeability-Inc Protein Ab,,TEMPORAL,,,,
Barbiturates,Barbiturates,,TEMPORAL,,,,
Base Excess,Base Excess,,TEMPORAL,,,,
Basophilic Metamyelocytes,Basophilic Metamyelocytes,,TEMPORAL,,,,
Basophilic Myelocytes,Basophilic Myelocytes,,TEMPORAL,,,,
Basophilic Stippling,Basophilic Stippling,,TEMPORAL,,,,
Basophils,Basophils,,TEMPORAL,,,,
Basophils Band Form,Basophils Band Form,,TEMPORAL,,,,
Basophils Band Form/Leukocytes,Basophils Band Form/Leukocytes,,TEMPORAL,,,,
"Basophils, Segmented","Basophils, Segmented",,TEMPORAL,,,,
Basophils/Leukocytes,Basophils/Leukocytes,,TEMPORAL,,,,
Basophils/Total Cells,Basophils/Total Cells,,TEMPORAL,,,,
Bee Mix Antigen IgE Antibody,Bee Mix Antigen IgE Antibody,,TEMPORAL,,,,
Bee Mix Antigen IgG Antibody,Bee Mix Antigen IgG Antibody,,TEMPORAL,,,,
Bee Mix Antigen IgG4 Antibody,Bee Mix Antigen IgG4 Antibody,,TEMPORAL,,,,
Bence-Jones Protein,Bence-Jones Protein|Immunoglobulin Light Chains,,TEMPORAL,,,,
Benzodiazepine,Benzodiazepine,,TEMPORAL,,,,
Benzoylecgonine,Benzoylecgonine|Cocaine Metabolite,,TEMPORAL,,,,
Bermuda Grass Pollen IgA,Bermuda Grass Pollen IgA,,TEMPORAL,,,,
Bermuda Grass Pollen IgE,Bermuda Grass Pollen IgE,,TEMPORAL,,,,
Bermuda Grass Pollen IgG,Bermuda Grass Pollen IgG,,TEMPORAL,,,,
Bermuda Grass Pollen IgG4,Bermuda Grass Pollen IgG4,,TEMPORAL,,,,
Beta Carotene,Beta Carotene|Beta Carotin|b-Carotene,,TEMPORAL,,,,
Beta Catenin,Beta Catenin,,TEMPORAL,,,,
Beta Globulin,Beta Globulin,,TEMPORAL,,,,
Beta Globulin/Total Protein,Beta Globulin/Total Protein,,TEMPORAL,,,,
Beta-1 Globulin,Beta-1 Globulin,,TEMPORAL,,,,
Beta-1 Globulin/Beta Protein,Beta-1 Globulin/Beta Protein,,TEMPORAL,,,,
Beta-1 Globulin/Total Protein,Beta-1 Globulin/Total Protein,,TEMPORAL,,,,
Beta-1B Glycoprotein,Beta-1B Glycoprotein|HPX|Hemopexin,,TEMPORAL,,,,
Beta-2 Globulin,Beta-2 Globulin,,TEMPORAL,,,,
Beta-2 Globulin/Total Protein,Beta-2 Globulin/Total Protein,,TEMPORAL,,,,
Beta-2 Glycoprotein 1 IgG Antibody,Beta-2 Glycoprotein 1 IgG Antibody,,TEMPORAL,,,,
Beta-2 Glycoprotein 1 IgM Antibody,Beta-2 Glycoprotein 1 IgM Antibody,,TEMPORAL,,,,
Beta-2 Glycoprotein Antibody,Beta-2 Glycoprotein Antibody,,TEMPORAL,,,,
Beta-2 Microglobulin,Beta-2 Microglobulin,,TEMPORAL,,,,
Beta-2 Microglobulin/Creatinine,Beta-2 Microglobulin/Creatinine,,TEMPORAL,,,,
Beta-cell Function,Beta-cell Function,,TEMPORAL,,,,
Beta-defensin 2,Beta-defensin 2,,TEMPORAL,,,,
Beta-Hydroxybutyrate,3-Hydroxybutyrate|B-Hydroxybutyrate|Beta-Hydroxybutyrate,,TEMPORAL,,,,
Beta-Trace Protein,Beta-Trace Protein,,TEMPORAL,,,,
Bicarbonate,Bicarbonate|HCO3|HCO3ABG,,TEMPORAL,,,,
Bile Acid,Bile Acid|Bile Acids|Bile Salt|Bile Salts,,TEMPORAL,,,,
Bilirubin,Bilirubin|Total Bilirubin|BILITOT,,TEMPORAL,,,,
Bilirubin Crystals,Bilirubin Crystals,,TEMPORAL,,,,
Bioavailable Testosterone,Bioavailable Testosterone,,TEMPORAL,,,,
Birch Pollen IgA,Birch Pollen IgA,,TEMPORAL,,,,
Birch Pollen IgE,Birch Pollen IgE,,TEMPORAL,,,,
Birch Pollen IgG,Birch Pollen IgG,,TEMPORAL,,,,
Birch Pollen IgG4,Birch Pollen IgG4,,TEMPORAL,,,,
Bite Cells,Bite Cells,,TEMPORAL,,,,
Bite Cells/Erythrocytes,Bite Cells/Erythrocytes,,TEMPORAL,,,,
Blasts,Blasts,,TEMPORAL,,,,
Blasts/Leukocytes,Blasts/Leukocytes,,TEMPORAL,,,,
Bleeding Time,Bleeding Time|Clotting Time Homeostasis,,TEMPORAL,,,,
Blister Cell,Blister Cell,,TEMPORAL,,,,
Bone Specific Alkaline Phosphatase,Bone Specific Alkaline Phosphatase,,TEMPORAL,,,,
Borrelia burgdorferi Antibody,Borrelia burgdorferi Antibody|Lyme Antibody,,TEMPORAL,,,,
Borrelia burgdorferi IgA Antibody,Borrelia burgdorferi IgA Antibody|Lyme IgA Antibody,,TEMPORAL,,,,
Borrelia burgdorferi IgG Antibody,Borrelia burgdorferi IgG Antibody|Lyme IgG Antibody,,TEMPORAL,,,,
Borrelia burgdorferi IgM Antibody,Borrelia burgdorferi IgM Antibody|Lyme IgM Antibody,,TEMPORAL,,,,
Brain Natriuretic Peptide,B-Type Natriuretic Peptide|Brain Natriuretic Peptide,,TEMPORAL,,,,
Brain-Derived Neurotrophic Factor,Brain-Derived Neurotrophic Factor,,TEMPORAL,,,,
Broad Casts,Broad Casts,,TEMPORAL,,,,
Buprenorphine,Buprenorphine,,TEMPORAL,,,,
Burr Cells,Burr Cells|Keratocytes,,TEMPORAL,,,,
Butyrylcholinesterase,Acylcholine Acylhydrolase|Butyrylcholinesterase|Non-neuronal Cholinesterase|Plasma Cholinesterase|Pseudocholinesterase,,TEMPORAL,,,,
C Reactive Protein,C Reactive Protein|c-reactive protein,,TEMPORAL,,,,
C-C Chemokine Receptor Type 5,C-C Chemokine Receptor Type 5|CD195,,TEMPORAL,,,,
C-peptide,C-peptide,,TEMPORAL,,,,
Cabot Rings,Cabot Rings,,TEMPORAL,,,,
Caffeine,Caffeine,,TEMPORAL,,,,
Calbindin,Calbindin,,TEMPORAL,,,,
Calcitonin,Calcitonin,,TEMPORAL,,,,
Calcitriol,Calcitriol,,TEMPORAL,,,,
Calcium,Calcium,,TEMPORAL,,,,
Calcium - Phosphorus Product,Calcium - Phosphorus Product,,TEMPORAL,,,,
Calcium Carbonate Crystals,Calcium Carbonate Crystals,,TEMPORAL,,,,
Calcium Clearance,Calcium Clearance,,TEMPORAL,,,,
Calcium Corrected,Calcium Corrected,,TEMPORAL,,,,
Calcium Excretion Rate,Calcium Excretion Rate,,TEMPORAL,,,,
Calcium Oxalate Crystals,Calcium Oxalate Crystals,,TEMPORAL,,,,
Calcium Phosphate Crystals,Calcium Phosphate Crystals,,TEMPORAL,,,,
Calcium Sulfate Crystals,Calcium Sulfate Crystals,,TEMPORAL,,,,
Calcium Sulphate,Calcium Sulphate,,TEMPORAL,,,,
"Calcium, Ionized","Calcium, Ionized",,TEMPORAL,,,,
"Calcium, Ionized pH Adjusted","Calcium, Ionized pH Adjusted",,TEMPORAL,,,,
Calcium/Creatinine,Calcium/Creatinine,,TEMPORAL,,,,
Calcium/Phosphorus,Calcium/Phosphate|Calcium/Phosphorus,,TEMPORAL,,,,
Calculated Panel Reactive Antibody,Calculated Panel Reactive Antibody,,TEMPORAL,,,,
Calprotectin,Calprotectin,,TEMPORAL,,,,
Cancer Antigen 1,Cancer Antigen 1,,TEMPORAL,,,,
Cancer Antigen 125,Cancer Antigen 125,,TEMPORAL,,,,
Cancer Antigen 15-3,Cancer Antigen 15-3,,TEMPORAL,,,,
Cancer Antigen 19-9,Cancer Antigen 19-9,,TEMPORAL,,,,
Cancer Antigen 27-29,Cancer Antigen 27-29,,TEMPORAL,,,,
Cancer Antigen 72-4,CA 72-4|Cancer Antigen 72-4|Carbohydrate Antigen 72-4,,TEMPORAL,,,,
Cannabinoids,Cannabinoids,,TEMPORAL,,,,
"Cannabinoids, Synthetic","Cannabinoids, Synthetic",,TEMPORAL,,,,
Carb-Deficient Transferrin/Transferrin,Carb-Deficient Transferrin/Transferrin,,TEMPORAL,,,,
Carbohydrate-Deficient Transferrin,Carbohydrate-Deficient Transferrin,,TEMPORAL,,,,
Carbon Dioxide,Carbon Dioxide|CO2,,TEMPORAL,,,,
Carbon Monoxide,Carbon Monoxide,,TEMPORAL,,,,
Carboxyhemoglobin,Carboxyhemoglobin,,TEMPORAL,,,,
Carcinoembryonic Antigen,Carcinoembryonic Antigen,,TEMPORAL,,,,
Cardiolipin IgA Antibody,Cardiolipin IgA Antibody,,TEMPORAL,,,,
Cardiolipin IgG Antibody,Anti-Cardiolipin IgG Antibody|Cardiolipin IgG Antibody,,TEMPORAL,,,,
Cardiolipin IgM Antibody,Cardiolipin IgM Antibody,,TEMPORAL,,,,
Carnitine,Carnitine,,TEMPORAL,,,,
Carnitine Acetyl Transferase,Carnitine Acetyl Transferase,,TEMPORAL,,,,
"Carnitine, Free","Carnitine, Free",,TEMPORAL,,,,
Cartilage Oligomeric Matrix Protein,Cartilage Oligomeric Matrix Protein,,TEMPORAL,,,,
Casts,Casts,,TEMPORAL,,,,
Cat Dander Antigen IgA Antibody,Cat Dander Antigen IgA Antibody,,TEMPORAL,,,,
Cat Dander Antigen IgE Antibody,Cat Dander Antigen IgE Antibody,,TEMPORAL,,,,
Cat Dander Antigen IgG Antibody,Cat Dander Antigen IgG Antibody,,TEMPORAL,,,,
Cat Dander Antigen IgG4 Antibody,Cat Dander Antigen IgG4 Antibody,,TEMPORAL,,,,
Cathepsin Antibody,Cathepsin Antibody,,TEMPORAL,,,,
CD1,CD1,,TEMPORAL,,,,
CD10,CD10,,TEMPORAL,,,,
CD11A,CD11A|CD11a,,TEMPORAL,,,,
CD11B,CD11B|CD11b|Complement Component 3 Receptor 3 Subunit|Complement Receptor Type 3 Alpha Subunit|ITGAM Protein|Integrin Alpha-M,,TEMPORAL,,,,
CD13,CD13,,TEMPORAL,,,,
CD14,CD14,,TEMPORAL,,,,
CD161/Lymphocytes,CD161/Lymphocytes,,TEMPORAL,,,,
CD161a/Lymphocytes,CD161a/Lymphocytes,,TEMPORAL,,,,
CD19,CD19,,TEMPORAL,,,,
CD19/Lymphocytes,CD19/Lymphocytes,,TEMPORAL,,,,
CD2,CD2,,TEMPORAL,,,,
CD2/Lymphocytes,CD2/Lymphocytes,,TEMPORAL,,,,
CD20,CD20,,TEMPORAL,,,,
CD22,CD22,,TEMPORAL,,,,
CD23,CD23,,TEMPORAL,,,,
CD3,CD3,,TEMPORAL,,,,
CD3/Lymphocytes,CD3/Lymphocytes,,TEMPORAL,,,,
CD33,CD33,,TEMPORAL,,,,
CD34,CD34,,TEMPORAL,,,,
CD38,CD38,,TEMPORAL,,,,
CD4,CD4,,TEMPORAL,,,,
CD4/CD8,CD4/CD8,,TEMPORAL,,,,
CD4/Lymphocytes,CD4/Lymphocytes,,TEMPORAL,,,,
CD40,CD40,,TEMPORAL,,,,
CD40 Ligand,CD40 Ligand,,TEMPORAL,,,,
CD45/Lymphocytes,CD45/Lymphocytes,,TEMPORAL,,,,
CD45RA/Lymphocytes,CD45RA/Lymphocytes,,TEMPORAL,,,,
CD5,CD5,,TEMPORAL,,,,
CD56,CD56,,TEMPORAL,,,,
CD79A,CD79A,,TEMPORAL,,,,
CD8,CD8,,TEMPORAL,,,,
CD8/Lymphocytes,CD8/Lymphocytes,,TEMPORAL,,,,
Cells,Cells,,TEMPORAL,,,,
Cellular Casts,Cellular Casts,,TEMPORAL,,,,
Cellularity,Cellularity|Cellularity Grade,,TEMPORAL,,,,
Centromere B Antibodies,Centromere B Antibodies,,TEMPORAL,,,,
Centromere IgG Antibody,Centromere IgG Antibody|Centromere Protein B,,TEMPORAL,,,,
Ceruloplasmin,Caeruloplasmin|Ceruloplasmin,,TEMPORAL,,,,
Chemokine (C-C Motif) Ligand 12,Chemokine (C-C Motif) Ligand 12|Monocyte Chemotactic Protein 5,,TEMPORAL,,,,
Chemokine (C-C Motif) Ligand 17,ABCD-2|Chemokine (C-C Motif) Ligand 17|SCYA17|TARC|Thymus and Activation Regulated Chemokine,,TEMPORAL,,,,
Chemokine (C-C Motif) Ligand 18,AMAC-1|AMAC1|CKB7|Chemokine (C-C Motif) Ligand 18|DC-CK1|DCCK1|MIP4|Macrophage inflammatory protein-4|PARC|Pulmonary and Activation-Regulated Chemokine|SCYA18,,TEMPORAL,,,,
Chemokine (C-C Motif) Ligand 19,Chemokine (C-C Motif) Ligand 19|MIP3B|Macrophage Inflammatory Protein 3 Beta,,TEMPORAL,,,,
Chemokine (C-C Motif) Ligand 7,Chemokine (C-C Motif) Ligand 7|MCP3|Monocyte Chemotactic Protein 3,,TEMPORAL,,,,
Chemokine (C-X-C Motif) Ligand 1,"Chemokine (C-X-C Motif) Ligand 1|GRO Alpha|GRO/KC|Melanoma Growth Stimulating Activity, Alpha",,TEMPORAL,,,,
Chemokine (C-X-C Motif) Ligand 10,Chemokine (C-X-C Motif) Ligand 10|IP-10|Interferon Gamma-induced Protein 10|Small-inducible Cytokine B10,,TEMPORAL,,,,
Chemokine (C-X-C Motif) Ligand 6,Chemokine (C-X-C Motif) Ligand 6|GCP2|Granulocyte Chemotactic Protein 2,,TEMPORAL,,,,
Chemokine (C-X-C Motif) Receptor 3,CD183|CXCR3|Chemokine (C-X-C Motif) Receptor 3|GPR9,,TEMPORAL,,,,
Chikungunya Virus Antibody,Chikungunya Virus Antibody,,TEMPORAL,,,,
Chlamydia pneumoniae IgA Antibody,Chlamydia pneumoniae IgA Antibody,,TEMPORAL,,,,
Chlamydia pneumoniae IgM Antibody,Chlamydia pneumoniae IgM Antibody,,TEMPORAL,,,,
Chlamydia trachomatis IgA Antibody,Chlamydia trachomatis IgA Antibody,,TEMPORAL,,,,
Chlamydia trachomatis IgG Antibody,Chlamydia trachomatis IgG Antibody,,TEMPORAL,,,,
Chlamydia trachomatis IgM Antibody,Chlamydia trachomatis IgM Antibody,,TEMPORAL,,,,
Chlordiazepoxide,Chlordiazepoxide,,TEMPORAL,,,,
Chloride,Chloride|CL,,TEMPORAL,,,,
Chloride Clearance,Chloride Clearance,,TEMPORAL,,,,
Chloride Excretion Rate,Chloride Excretion Rate,,TEMPORAL,,,,
Chloride/Creatinine,Chloride/Creatinine,,TEMPORAL,,,,
Cholecystokinin,Cholecystokinin|Pancreozymin,,TEMPORAL,,,,
Cholera Toxin B Subunit IgG Antibody,Cholera Toxin B Subunit IgG Antibody,,TEMPORAL,,,,
Cholesterol,Cholesterol|Total Cholesterol,,TEMPORAL,,,,
Cholesterol Crystals,Cholesterol Crystals,,TEMPORAL,,,,
Cholesterol/HDL-Cholesterol,Cholesterol/HDL-Cholesterol|cholesterol/hdl,,TEMPORAL,,,,
Cholesteryl Ester Transfer Protein,Cholesteryl Ester Transfer Protein,,TEMPORAL,,,,
Cholesteryl Ester Transfer Protein Act,Cholesteryl Ester Transfer Protein Act,,TEMPORAL,,,,
Cholinesterase,Cholinesterase,,TEMPORAL,,,,
Choriogonadotropin Beta,Choriogonadotropin Beta|Pregnancy Test,,TEMPORAL,,,,
Chromogranin A,Chromogranin A,,TEMPORAL,,,,
Chylomicrons,Chylomicrons,,TEMPORAL,,,,
Chymotrypsin,Chymotrypsin,,TEMPORAL,,,,
Circulating Endothelial Cells,Circulating Endothelial Cells,,TEMPORAL,,,,
Circulating Immune Complexes,Circulating Immune Complexes,,TEMPORAL,,,,
Circulating Tumor Cells,Circulating Tumor Cells,,TEMPORAL,,,,
Citrate,Citrate|Citric Acid,,TEMPORAL,,,,
Citrate/Creatinine,Citrate/Creatinine|Citric Acid/Creatinine,,TEMPORAL,,,,
Citrulline,Citrulline,,TEMPORAL,,,,
Clarity,Clarity,,TEMPORAL,,,,
Clonazepam,Clonazepam,,TEMPORAL,,,,
Clorazepate,Clorazepate,,TEMPORAL,,,,
Clostridium difficile Toxin,Clostridium difficile Toxin,,TEMPORAL,,,,
Clostridium tetani IgG Antibody,Clostridium tetani IgG Antibody,,TEMPORAL,,,,
Clostridium tetani Toxoid IgG Antibody,Clostridium tetani Toxoid IgG Antibody,,TEMPORAL,,,,
Clue Cells,Clue Cells,,TEMPORAL,,,,
Coagulation Index,CI|Coagulation Index,,TEMPORAL,,,,
Cocaine,Cocaine,,TEMPORAL,,,,
Cocaine Amphetamine-Reg Transcript Prot,CART|Cocaine Amphetamine-Reg Transcript Prot|Cocaine and Amphetamine-Regulated Transcript Protein,,TEMPORAL,,,,
Cocaine Benzoylecgonine Ecgonine,Cocaine Benzoylecgonine Ecgonine,,TEMPORAL,,,,
Coccidioides Antibody,Coccidioides Antibody,,TEMPORAL,,,,
Codeine,Codeine,,TEMPORAL,,,,
Collagen Type IV,Collagen Type IV,,TEMPORAL,,,,
Color,Color,,TEMPORAL,,,,
Columnar Epi Cells/Non-Squam Epi Cells,Columnar Epi Cells/Non-Squam Epi Cells,,TEMPORAL,,,,
Complement Ba,Ba Fragment of Complement Factor B|Ba Fragment of Factor B|Complement Ba,,TEMPORAL,,,,
Complement Bb,Bb Fragment of Complement Factor B|Bb Fragment of Factor B|Complement Bb,,TEMPORAL,,,,
Complement C1q Antibody,Complement C1q Antibody,,TEMPORAL,,,,
Complement C3,Complement C3,,TEMPORAL,,,,
Complement C3a,"ASP, Complement C3 DesArg, Acetylation-stimulating Protein|Complement C3a",,TEMPORAL,,,,
Complement C3b,Complement C3b,,TEMPORAL,,,,
Complement C3d Antibody,Complement C3d Antibody,,TEMPORAL,,,,
Complement C4,Complement C4,,TEMPORAL,,,,
Complement C4a,Complement C4a,,TEMPORAL,,,,
Complement C4d,Complement C4d,,TEMPORAL,,,,
Complement C5a,Complement C5a,,TEMPORAL,,,,
Complement CH50,CH50|Complement CH50|Total Hemolytic Complement,,TEMPORAL,,,,
Complement Total,Complement Total,,TEMPORAL,,,,
Copeptin,Copeptin,,TEMPORAL,,,,
Copper,Copper|Cu,,TEMPORAL,,,,
Corpuscular Hemoglobin Content,CH|Cellular Hemoglobin Content|Corpuscular Hemoglobin Content|,,TEMPORAL,,,,
Corpuscular HGB Conc Distribution Width,Corpuscular HGB Conc Distribution Width|Corpuscular Hemoglobin Concentration Distribution Width,,TEMPORAL,,,,
Corpuscular HGB Concentration Mean,Corpuscular HGB Concentration Mean,,TEMPORAL,,,,
Corticosterone,Corticosterone,,TEMPORAL,,,,
Corticosterone/Creatinine,Corticosterone/Creatinine,,TEMPORAL,,,,
Corticotropin Releasing Hormone,Corticotropin Releasing Factor|Corticotropin Releasing Hormone,,TEMPORAL,,,,
Cortisol,Cortisol|Total Cortisol,,TEMPORAL,,,,
"Cortisol, Free","Cortisol, Free",,TEMPORAL,,,,
Cortisol/Creatinine,Cortisol/Creatinine,,TEMPORAL,,,,
Cotinine,Cotinine,,TEMPORAL,,,,
Creatine Kinase,CPK|Creatine Kinase,,TEMPORAL,,,,
Creatine Kinase BB,Creatine Kinase BB,,TEMPORAL,,,,
Creatine Kinase BB/Total Creatine Kinase,Creatine Kinase BB/Total Creatine Kinase,,TEMPORAL,,,,
Creatine Kinase MB,Creatine Kinase MB,,TEMPORAL,,,,
Creatine Kinase MB/Total Creatine Kinase,Creatine Kinase MB/Total Creatine Kinase,,TEMPORAL,,,,
Creatine Kinase MM,Creatine Kinase MM,,TEMPORAL,,,,
Creatine Kinase MM/Total Creatine Kinase,Creatine Kinase MM/Total Creatine Kinase,,TEMPORAL,,,,
Creatinine,Creatinine,,TEMPORAL,,,,
Creatinine Clearance,Creatinine Clearance,,TEMPORAL,,,,
Creatinine Excretion Rate,Creatinine Excretion Rate,,TEMPORAL,,,,
Crenated Cells,Crenated Cells|Echinocytes,,TEMPORAL,,,,
Cryoglobulin,Cryoglobulin,,TEMPORAL,,,,
Crystals,Crystals,,TEMPORAL,,,,
"Cyclic Adenosine 3,5-Monophosphate","Cyclic Adenosine 3,5-Monophosphate",,TEMPORAL,,,,
Cyclic Citrullinated Peptide Antibody,Cyclic Citrullinated Peptide Antibody,,TEMPORAL,,,,
Cyclic Guanosine Monophosphate,Cyclic Guanosine Monophosphate,,TEMPORAL,,,,
Cystatin C,Cystatin C,,TEMPORAL,,,,
Cystatin C/Creatinine,Cystatin C/Creatinine,,TEMPORAL,,,,
Cystine,Cystine,,TEMPORAL,,,,
Cystine Crystals,Cystine Crystals,,TEMPORAL,,,,
Cytokeratin 18 Fragment,Cytokeratin 18 Fragment,,TEMPORAL,,,,
Cytokeratin 19 Fragment 21-1,CYFRA21-1|Cytokeratin 19 Fragment 21-1,,TEMPORAL,,,,
Cytomegalovirus IgG Antibody,Cytomegalovirus IgG Antibody,,TEMPORAL,,,,
Cytomegalovirus IgM Antibody,Cytomegalovirus IgM Antibody,,TEMPORAL,,,,
Cytoplasmic Basophilia Neutrophil,Cytoplasmic Basophilia Neutrophil,,TEMPORAL,,,,
D-Dimer,D-Dimer,,TEMPORAL,,,,
D. farinae Antigen IgE Antibody,D. farinae Antigen IgE Antibody,,TEMPORAL,,,,
D. farinae Antigen IgG Antibody,D. farinae Antigen IgG Antibody,,TEMPORAL,,,,
D. pteronyssinus Antigen IgE Antibody,D. pteronyssinus Antigen IgE Antibody,,TEMPORAL,,,,
D. pteronyssinus Antigen IgG Antibody,D. pteronyssinus Antigen IgG Antibody,,TEMPORAL,,,,
Dacryocytes,Dacryocytes|Tear Shaped Erythrocytes|Teardrop Cells,,TEMPORAL,,,,
Dairy Mix Antigen IgG Antibody,Dairy Mix Antigen IgG Antibody,,TEMPORAL,,,,
Degenerated Leukocytes,Degenerated Leukocytes|Degenerated WBC|Degenerated White Blood Cells,,TEMPORAL,,,,
Dehydroepiandrosterone,Dehydroepiandrosterone|Dehydroisoandrosterone,,TEMPORAL,,,,
Dehydroepiandrosterone Sulfate,DHEA Sulfate|DHEA-S|Dehydroepiandrosterone Sulfate|sDHEA,,TEMPORAL,,,,
Density,Density,,TEMPORAL,,,,
Deoxyhemoglobin,Deoxyhemoglobin,,TEMPORAL,,,,
Deoxypyridinoline,Deoxypyridinoline,,TEMPORAL,,,,
Deoxypyridinoline/Creatinine,Deoxypyridinoline/Creatinine,,TEMPORAL,,,,
Deoxyribonucleic Acid,Deoxyribonucleic Acid,,TEMPORAL,,,,
Desmoglein 1 Antibody,Desmoglein 1 Antibody,,TEMPORAL,,,,
Desmoglein 3 Antibody,Desmoglein 3 Antibody,,TEMPORAL,,,,
Dextroamphetamine,Dextroamphetamine|d-amphetamine,,TEMPORAL,,,,
Diazepam,Diazepam,,TEMPORAL,,,,
Dicalcium Phosphate Crystals,Dicalcium Phosphate Crystals,,TEMPORAL,,,,
Dihydrocodeine,Dihydrocodeine,,TEMPORAL,,,,
Dihydrotestosterone,Androstanalone|Dihydrotestosterone,,TEMPORAL,,,,
Dilute Russell's Viper Venom Time,Dilute Russell's Viper Venom Time|Lupus Anticoagulant Test,,TEMPORAL,,,,
Dilute Russell's Viper Venom Time Ratio,Dilute Russell's Viper Venom Time Ratio|Lupus Anticoagulant Ratio,,TEMPORAL,,,,
Dimorphic Erythrocyte Population,Dimorphic Erythrocyte Population|Dimorphic RBC Population,,TEMPORAL,,,,
Dipeptidyl Peptidase-4 Activity,DPPIV Activity|Dipeptidyl Peptidase-4 Activity,,TEMPORAL,,,,
Diphtheria IgG Antibody,Diphtheria IgG Antibody,,TEMPORAL,,,,
Direct Bilirubin,Direct Bilirubin,,TEMPORAL,,,,
DNA Fragmentation Index,DNA Fragmentation Index,,TEMPORAL,,,,
DNase-B Antibody,Anti-Dnase B|DNase-B Antibody,,TEMPORAL,,,,
Dog Dander Antigen IgA Antibody,Dog Dander Antigen IgA Antibody,,TEMPORAL,,,,
Dog Dander Antigen IgE Antibody,Dog Dander Antigen IgE Antibody,,TEMPORAL,,,,
Dog Dander Antigen IgG Antibody,Dog Dander Antigen IgG Antibody,,TEMPORAL,,,,
Dog Dander Antigen IgG4 Antibody,Dog Dander Antigen IgG4 Antibody,,TEMPORAL,,,,
Dohle Bodies,Dohle Bodies,,TEMPORAL,,,,
Dopamine,Dopamine,,TEMPORAL,,,,
Drug Screen,Drug Screen,,TEMPORAL,,,,
DTPA Clearance,DTPA Clearance,,TEMPORAL,,,,
Dysmorphic Erythrocytes,Dysmorphic Erythrocytes,,TEMPORAL,,,,
Ebola Virus IgM Antibody,Ebola Virus IgM Antibody,,TEMPORAL,,,,
EBV Profile Interpretation,EBV Profile Interpretation|Epstein-Barr Virus Antibody Profile|Epstein-Barr Virus Panel|Epstein-Barr Virus Profile Interpretation,,TEMPORAL,,,,
Ecarin Clotting Time,Ecarin Clotting Time,,TEMPORAL,,,,
Eccentrocytes,Eccentrocytes,,TEMPORAL,,,,
EDTA Clearance,EDTA Clearance,,TEMPORAL,,,,
Elliptocytes,Elliptocytes,,TEMPORAL,,,,
Endogenous Thrombin Potential,Endogenous Thrombin Potential,,TEMPORAL,,,,
Endothelin-1,Endothelin-1,,TEMPORAL,,,,
English Plantain Pollen IgA,English Plantain Pollen IgA,,TEMPORAL,,,,
English Plantain Pollen IgE,English Plantain Pollen IgE,,TEMPORAL,,,,
English Plantain Pollen IgG,English Plantain Pollen IgG,,TEMPORAL,,,,
English Plantain Pollen IgG4,English Plantain Pollen IgG4,,TEMPORAL,,,,
Eosinophilic Metamyelocytes,Eosinophilic Metamyelocytes,,TEMPORAL,,,,
Eosinophilic Myelocytes,Eosinophilic Myelocytes,,TEMPORAL,,,,
Eosinophils,Eosinophils,,TEMPORAL,,,,
Eosinophils Band Form,Eosinophils Band Form,,TEMPORAL,,,,
Eosinophils Band Form/Leukocytes,Eosinophils Band Form/Leukocytes,,TEMPORAL,,,,
"Eosinophils, Segmented","Eosinophils, Segmented",,TEMPORAL,,,,
Eosinophils/Leukocytes,Eosinophils/Leukocytes,,TEMPORAL,,,,
Eosinophils/Non-Squam Epi Cells,Eosinophils/Non-Squam Epi Cells,,TEMPORAL,,,,
Eosinophils/Total Cells,Eosinophils/Total Cells,,TEMPORAL,,,,
Eotaxin-1,Chemokine Ligand 11|Eotaxin-1,,TEMPORAL,,,,
Eotaxin-2,Chemokine Ligand 24|Eotaxin-2,,TEMPORAL,,,,
Eotaxin-3,CCL26|Chemokine (C-C Motif) Ligand 26|Chemokine Ligand 26|Eotaxin-3,,TEMPORAL,,,,
Epi Cells/Non-Squam Epi Cells,Epi Cells/Non-Squam Epi Cells,,TEMPORAL,,,,
Epidermal Growth Factor,Epidermal Growth Factor,,TEMPORAL,,,,
Epidermal Growth Factor Receptor,ERBB1|Epidermal Growth Factor Receptor|HER1,,TEMPORAL,,,,
Epinephrine,Adrenaline|Epinephrine,,TEMPORAL,,,,
Epith Neutrophil-Activating Peptide 78,Epith Neutrophil-Activating Peptide 78,,TEMPORAL,,,,
Epithelial Casts,Epithelial Casts,,TEMPORAL,,,,
Epithelial Cells,Epithelial Cells,,TEMPORAL,,,,
Epithelial Cells/Total Cells,Epithelial Cells/Total Cells,,TEMPORAL,,,,
Epstein-Barr Capsid IgG Antibody,Epstein-Barr Capsid IgG Antibody,,TEMPORAL,,,,
Epstein-Barr Capsid IgM Antibody,Epstein-Barr Capsid IgM Antibody,,TEMPORAL,,,,
Epstein-Barr Early Antigen,Epstein-Barr Early Antigen,,TEMPORAL,,,,
Epstein-Barr Early D Antigen IgG Ab,Epstein-Barr Early D Antigen IgG Ab,,TEMPORAL,,,,
